date | valuer       
---------------------- Exercise example ----------------------
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
-----------------basic functionality test exact match-----------------
2011-08-24 | 2
2013-12-07 | 2
2017-07-23 | 2
------------------------basic functionality test nearest match-----------------
2011-01-03 | 2
2050-01-01 | 2
2021-12-07 | 2
------------------------Tab test----------------------------------
2011-01-03	 | 3
2011-01-03 |	 2
2011-01-03 | 1	
	2011-01-03 | 1.2
2011-01-09 | 	1
2012-01-11 	| -1
------------------------value boundary test----------------------------------
2011-01-03 | 1000
2011-01-03 | 1000.1
2011-01-03 | 0
2011-01-03 | 0.1
2011-01-03 | 999.9
2011-01-03 | 1001
------------------------precision test---------------------------------------
2011-01-03 | 1000.00000000
2011-01-03 | 1000.00000000000000000000000000000001
2011-01-03 | -0.00000000000000001
2011-01-03 | 1000.0000001
2011-01-03 | 999.99999999
2011-01-03 | 999.9999999
------------------------signed value test------------------------------------
2012-01-11 | -1
2011-01-03 | -0
2011-01-03 | +0
2011-01-03 | +1
2011-01-03 | +1000
2011-01-03 | -1000
------------------------large number test------------------------------------
2012-01-11 | 2147483648
2011-01-03 | 1e308
2011-01-03 | 1e10
------------------------nan inf test------------------------
2011-01-03 | nan
2011-01-03 | inf
2011-01-03 | -inf
------------------------invalid date format test------------------------
2001-42-42 | 1
2011-1-03 | 1
2011-01-3 | 1
2011/01/03 | 1
2011-01-03|1
2011-01-03 |
2011-01-03  | 1
2011-00-01 | 1
2011-13-01 | 1
20110101 | 1
2011-01-00 | 1
2011-00-01 | 1
------------------------invalid dates (days out of range)--------------------
=========month out of range=========
2024-02-30 | 1
2024-02-31 | 1
2024-04-31 | 1
2024-06-31 | 1
2024-09-31 | 1
2024-11-31 | 1
2024-12-32 | 1
------------------------leap year test------------------------
1804-02-29 | 1
1805-02-29 | 1
2000-02-29 | 1
2001-02-29 | 1
2020-02-29 | 1
2020-02-30 | 1
2021-02-29 | 1
1900-02-29 | 1
1900-02-28 | 1
------------------------invalid value format test------------------------
2011-01-03 | abc
2011-01-03 | 1.2.3
2011-01-03 | 1e2
2011-01-03 | 1e-2
2011-01-03 | +1
2011-01-03 | .5
2011-01-03 | 5.
2011-01-03 | 
------------------------multiple decimal test------------------------
2011-01-03 | 1..2
2011-01-03 | .1.2
------------------------leading trailing decimal test------------------------
2011-01-03 | .
2011-01-03 | 5
------------------------scientific notation test------------------------
2011-01-03 | 1E2
2011-01-03 | 1E-2
2011-01-03 | 1e+2
2011-01-03 | 1e-+2
2011-01-03 | 1e
2011-01-03 | 1e+
2011-01-03 | 1e-
2011-01-03 | 1e++1
------------------------empty whitespace test------------------------
2011-01-03 |  
2011-01-03 |  1
2011-01-03 | 1      
2011-01-03 |  1
2011-01-03  | 1
2011-01-03 |       1 
------------------------non numeric test------------------------
2011-01-03 | 1abc
2011-01-03 | abc1
2011-01-03 | 1.2abc
2011-01-03 | abc1.2
2011-01-03 | 1.2f
------------------------nearest date test------------------------
2011-01-01 | 1
2011-01-05 | 1
2011-01-15 | 1
2011-01-25 | 1
